date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:40	95940/95940	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:38%20GMT	https://sunup.edu.bd/dress-code/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/dress-code/index.html	(from https://sunup.edu.bd/)
10:11:42	56306/56306	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202020%2010:24:23%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/06/11-1024x576.jpg	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/06/11-1024x576.jpg	(from https://sunup.edu.bd/)
10:11:42	79877/79877	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:40%20GMT	https://sunup.edu.bd/exam-rules/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/exam-rules/index.html	(from https://sunup.edu.bd/)
10:11:44	96691/96691	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202020%2010:24:30%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/06/12-1024x576.jpg	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/06/12-1024x576.jpg	(from https://sunup.edu.bd/)
10:11:44	79404/79404	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:42%20GMT	https://sunup.edu.bd/code-of-conduct/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/code-of-conduct/index.html	(from https://sunup.edu.bd/)
10:11:47	79489/79489	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:45%20GMT	https://sunup.edu.bd/classroom-maintenance/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/classroom-maintenance/index.html	(from https://sunup.edu.bd/)
10:11:48	419660/419660	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Aug%202021%2010:29:56%20GMT	https://sunup.edu.bd/wp-content/uploads/2021/08/Kazi-Shamsun-Naher-Alo-Academic-Head-SunUp.png	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2021/08/Kazi-Shamsun-Naher-Alo-Academic-Head-SunUp.png	(from https://sunup.edu.bd/)
10:11:48	94236/94236	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202020%2010:24:35%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/06/13-1024x576.jpg	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/06/13-1024x576.jpg	(from https://sunup.edu.bd/)
10:11:48	80233/80233	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:48%20GMT	https://sunup.edu.bd/pupils-rights-responsibilities/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/pupils-rights-responsibilities/index.html	(from https://sunup.edu.bd/)
10:11:51	97353/97353	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:49%20GMT	https://sunup.edu.bd/notice-for-psc/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/notice-for-psc/index.html	(from https://sunup.edu.bd/)
